N	T	P	A	S	J	F	M	I	U	O 
0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1

N	T	P	A	S	J	F	M	I	U	O 
1	0.01	0.01	1	1	1	0.01	0.01	0.01	0.01	0.01
0.01	1	0.01	0.01	0.01	0.01	1	1	1	1	0.01
0.01	0.01	1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1	0.01	0.01	1	1	1	0.01	0.01	0.01	0.01	0.01
1	0.01	0.01	1	1	1	0.01	0.01	0.01	0.01	0.01
1	0.01	0.01	1	1	1	0.01	0.01	0.01	0.01	0.01
0.01	1	0.01	0.01	0.01	0.01	1	1	1	1	0.01
0.01	1	0.01	0.01	0.01	0.01	1	1	1	1	0.01
0.01	1	0.01	0.01	0.01	0.01	1	1	1	1	0.01
0.01	1	0.01	0.01	0.01	0.01	1	1	1	1	0.01
0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1

N	T	P	A	S	J	F	M	I	U	O 
1	0.5	0.01	1	1	1	0.01	0.01	0.01	0.01	0.01
0.5	1	0.01	0.01	0.01	0.01	1	1	1	1	0.01
0.01	0.01	1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
1	0.01	0.01	1	1	1	0.5	0.01	0.01	0.01	0.01
1	0.01	0.01	1	1	1	0.01	0.01	0.01	0.01	0.01
1	0.01	0.01	1	1	1	0.01	0.01	0.01	0.01	0.01
0.01	1	0.01	0.5	0.01	0.01	1	1	1	1	0.01
0.01	1	0.01	0.01	0.01	0.01	1	1	1	1	0.01
0.01	1	0.01	0.01	0.01	0.01	1	1	1	1	0.01
0.01	1	0.01	0.01	0.01	0.01	1	1	1	1	0.01
0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1

N	T	P	A	S	J	F	M	I	U	O 
1	1	1	1	1	1	1	1	1	1	0.01
1	1	1	1	1	1	1	1	1	1	0.01
1	1	1	1	1	1	1	1	1	1	0.01
1	1	1	1	1	1	1	1	1	1	0.01
1	1	1	1	1	1	1	1	1	1	0.01
1	1	1	1	1	1	1	1	1	1	0.01
1	1	1	1	1	1	1	1	1	1	0.01
1	1	1	1	1	1	1	1	1	1	0.01
1	1	1	1	1	1	1	1	1	1	0.01
1	1	1	1	1	1	1	1	1	1	0.01
0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1

